gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
female,21,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.35,0.2,0.2,0.2,0.0,0.05,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,6.0,9.0,7.0,7.0,6.0,5.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,7.0,1
female,21,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.6,0.0,0.0,0.4,0.0,0.0,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,7.0,8.0,7.0,8.0,5.0,6.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,3,7.0,1
female,21,23,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.3,0.05,0.15,0.4,0.05,0.05,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,7.0,6.0,8.0,7.0,6.0,8.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.61,3,7.0,1
female,21,24,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,2,4,law,0.3,0.1,0.2,0.1,0.1,0.2,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,5.0,6.0,7.0,7.0,6.0,6.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.21,3,6.0,1
female,21,25,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.5,0.0,0.3,0.1,0.0,0.1,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,4.0,9.0,7.0,4.0,6.0,4.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.25,3,6.0,0
female,21,30,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.35,0.15,0.25,0.1,0.05,0.1,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,7.0,6.0,7.0,4.0,6.0,7.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.34,3,6.0,1
female,21,24,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,5.0,6.0,6.0,8.0,10.0,8.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,3,6.0,1
female,24,27,European/Caucasian-American,European/Caucasian-American,1,2,5,law,0.35,0.2,0.2,0.2,0.0,0.05,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,5.0,7.0,8.0,4.0,6.0,3.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,4,6.0,0
female,24,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,2,5,law,0.19,0.18,0.19,0.18,0.14,0.12,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,5.0,8.0,9.0,6.0,3.0,4.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.1,4,6.0,0
female,24,23,European/Caucasian-American,European/Caucasian-American,1,2,5,law,0.3,0.05,0.15,0.4,0.05,0.05,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,7.0,9.0,7.0,6.0,5.0,7.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,-0.21,4,7.0,1
female,24,24,European/Caucasian-American,Latino/Hispanic American,0,2,5,law,0.3,0.1,0.2,0.1,0.1,0.2,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,6.0,8.0,7.0,9.0,7.0,8.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.32,4,8.0,0
female,24,30,European/Caucasian-American,European/Caucasian-American,1,2,5,law,0.35,0.15,0.25,0.1,0.05,0.1,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,7.0,5.0,9.0,6.0,7.0,9.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.6,4,8.0,1
female,24,27,European/Caucasian-American,European/Caucasian-American,1,2,5,law,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,5.0,8.0,7.0,5.0,9.0,5.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.07,4,5.0,0
female,24,28,European/Caucasian-American,European/Caucasian-American,1,2,5,law,0.5,0.0,0.25,0.1,0.0,0.15,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,7.0,6.0,8.0,9.0,4.0,5.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.11,4,5.0,1
female,24,24,European/Caucasian-American,European/Caucasian-American,1,2,5,law,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,6.0,7.0,8.0,7.0,9.0,8.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.39,4,8.0,1
female,23,22,European/Caucasian-American,European/Caucasian-American,1,1,1,law,0.6,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.1,7,8,9,7,8,8.0,7.0,8.0,10.0,7.0,8.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,8.0,0
female,23,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,1,1,law,0.19,0.18,0.19,0.18,0.14,0.12,0.2,0.2,0.2,0.2,0.1,0.1,7,8,9,7,8,4.0,7.0,8.0,8.0,6.0,7.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.05,1,4.0,0
female,23,23,European/Caucasian-American,European/Caucasian-American,1,1,1,law,0.3,0.05,0.15,0.4,0.05,0.05,0.2,0.2,0.2,0.2,0.1,0.1,7,8,9,7,8,8.0,10.0,7.0,10.0,7.0,10.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,8.0,1
female,23,24,European/Caucasian-American,Latino/Hispanic American,0,1,1,law,0.3,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,7,8,9,7,8,6.0,9.0,8.0,9.0,8.0,9.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.21,1,7.0,0
female,23,25,European/Caucasian-American,European/Caucasian-American,1,1,1,law,0.5,0.0,0.3,0.1,0.0,0.1,0.2,0.2,0.2,0.2,0.1,0.1,7,8,9,7,8,5.0,10.0,8.0,4.0,8.0,2.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.37,1,4.0,0
female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,1,law,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2,0.2,0.2,0.2,0.1,0.1,7,8,9,7,8,5.0,9.0,9.0,5.0,9.0,7.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.15,1,6.0,0
female,23,28,European/Caucasian-American,European/Caucasian-American,1,1,1,law,0.5,0.0,0.25,0.1,0.0,0.15,0.2,0.2,0.2,0.2,0.1,0.1,7,8,9,7,8,9.0,8.0,10.0,10.0,7.0,8.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.47,1,8.0,1
female,23,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,law,0.6,0.0,0.0,0.4,0.0,0.0,0.1,0.25,0.2,0.25,0.05,0.15,5,7,8,9,5,6.0,9.0,9.0,6.0,8.0,2.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.37,4,7.0,1
female,23,22,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,1,1,1,law,0.19,0.18,0.19,0.18,0.14,0.12,0.1,0.25,0.2,0.25,0.05,0.15,5,7,8,9,5,4.0,7.0,9.0,4.0,3.0,2.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,-0.51,4,6.0,0
female,23,23,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,law,0.3,0.05,0.15,0.4,0.05,0.05,0.1,0.25,0.2,0.25,0.05,0.15,5,7,8,9,5,8.0,6.0,7.0,8.0,2.0,8.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.12,4,9.0,1
female,23,24,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,1,1,law,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.25,0.2,0.25,0.05,0.15,5,7,8,9,5,5.0,4.0,8.0,8.0,4.0,2.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.35,4,4.0,0
female,23,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,law,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1,0.25,0.2,0.25,0.05,0.15,5,7,8,9,5,4.0,8.0,9.0,2.0,8.0,3.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.03,4,5.0,0
female,23,28,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,law,0.5,0.0,0.25,0.1,0.0,0.15,0.1,0.25,0.2,0.25,0.05,0.15,5,7,8,9,5,7.0,6.0,8.0,8.0,6.0,9.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.46,4,9.0,1
female,22,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.35,0.2,0.2,0.2,0.0,0.05,0.15,0.15,0.25,0.2,0.15,0.1,6,6,5,7,7,4.0,8.0,8.0,5.0,7.0,4.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.19,7,7.0,0
female,22,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.6,0.0,0.0,0.4,0.0,0.0,0.15,0.15,0.25,0.2,0.15,0.1,6,6,5,7,7,6.0,6.0,8.0,4.0,9.0,4.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.21,7,7.0,0
female,22,22,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,1,2,4,law,0.19,0.18,0.19,0.18,0.14,0.12,0.15,0.15,0.25,0.2,0.15,0.1,6,6,5,7,7,3.0,6.0,8.0,7.0,8.0,8.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.52,7,7.0,0
female,22,23,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.3,0.05,0.15,0.4,0.05,0.05,0.15,0.15,0.25,0.2,0.15,0.1,6,6,5,7,7,7.0,8.0,8.0,7.0,7.0,6.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.46,7,8.0,1
female,22,24,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,2,4,law,0.3,0.1,0.2,0.1,0.1,0.2,0.15,0.15,0.25,0.2,0.15,0.1,6,6,5,7,7,4.0,7.0,7.0,4.0,8.0,5.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.27,7,5.0,0
female,22,25,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.5,0.0,0.3,0.1,0.0,0.1,0.15,0.15,0.25,0.2,0.15,0.1,6,6,5,7,7,4.0,8.0,7.0,4.0,5.0,4.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.59,7,5.0,0
female,22,28,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,law,0.5,0.0,0.25,0.1,0.0,0.15,0.15,0.15,0.25,0.2,0.15,0.1,6,6,5,7,7,6.0,6.0,8.0,8.0,8.0,6.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.34,7,6.0,1
female,26,22,Other,European/Caucasian-American,0,1,1,masters in public administration,0.6,0.0,0.0,0.4,0.0,0.0,0.2,0.1,0.2,0.3,0.1,0.1,7,6,10,7,7,10.0,10.0,10.0,10.0,10.0,10.0,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.03,6,10.0,1
female,26,22,Other,Asian/Pacific Islander/Asian-American,0,1,1,masters in public administration,0.19,0.18,0.19,0.18,0.14,0.12,0.2,0.1,0.2,0.3,0.1,0.1,7,6,10,7,7,5.0,10.0,10.0,6.0,6.0,6.0,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.68,6,8.0,1
female,26,23,Other,European/Caucasian-American,0,1,1,masters in public administration,0.3,0.05,0.15,0.4,0.05,0.05,0.2,0.1,0.2,0.3,0.1,0.1,7,6,10,7,7,10.0,9.0,8.0,8.0,7.0,7.0,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.26,6,7.0,1
